experiment,final_reward,max_reward,steps,best_model,plot
shuffled_distpe_lr0.0003_hidden_dim512_clip_eps0.2_entropy_coef0.005_epochs8_batch_size64_d_embed16_seed2042,96.6173,96.6173,258905,ppo_highway_best_shuffled_distpe_lr0.0003_hidden_dim512_clip_eps0.2_entropy_coef0.005_epochs8_batch_size64_d_embed16_seed2042.pth,ppo_highway_rewards_shuffled_distpe_lr0.0003_hidden_dim512_clip_eps0.2_entropy_coef0.005_epochs8_batch_size64_d_embed16_seed2042.png
shuffled_distpe_lr0.0003_hidden_dim512_clip_eps0.2_entropy_coef0.005_epochs8_batch_size64_d_embed16_seed42,87.3688,107.6540,246847,ppo_highway_best_shuffled_distpe_lr0.0003_hidden_dim512_clip_eps0.2_entropy_coef0.005_epochs8_batch_size64_d_embed16_seed42.pth,ppo_highway_rewards_shuffled_distpe_lr0.0003_hidden_dim512_clip_eps0.2_entropy_coef0.005_epochs8_batch_size64_d_embed16_seed42.png
shuffled_distpe_lr0.0003_hidden_dim512_clip_eps0.2_entropy_coef0.005_epochs8_batch_size64_d_embed4_seed1042,111.5753,125.7865,250856,ppo_highway_best_shuffled_distpe_lr0.0003_hidden_dim512_clip_eps0.2_entropy_coef0.005_epochs8_batch_size64_d_embed4_seed1042.pth,ppo_highway_rewards_shuffled_distpe_lr0.0003_hidden_dim512_clip_eps0.2_entropy_coef0.005_epochs8_batch_size64_d_embed4_seed1042.png
shuffled_distpe_lr0.0003_hidden_dim512_clip_eps0.2_entropy_coef0.005_epochs8_batch_size64_d_embed4_seed2042,114.4617,114.4617,264898,ppo_highway_best_shuffled_distpe_lr0.0003_hidden_dim512_clip_eps0.2_entropy_coef0.005_epochs8_batch_size64_d_embed4_seed2042.pth,ppo_highway_rewards_shuffled_distpe_lr0.0003_hidden_dim512_clip_eps0.2_entropy_coef0.005_epochs8_batch_size64_d_embed4_seed2042.png
shuffled_distpe_lr0.0003_hidden_dim512_clip_eps0.2_entropy_coef0.005_epochs8_batch_size64_d_embed4_seed42,112.8050,119.6777,265170,ppo_highway_best_shuffled_distpe_lr0.0003_hidden_dim512_clip_eps0.2_entropy_coef0.005_epochs8_batch_size64_d_embed4_seed42.pth,ppo_highway_rewards_shuffled_distpe_lr0.0003_hidden_dim512_clip_eps0.2_entropy_coef0.005_epochs8_batch_size64_d_embed4_seed42.png
shuffled_distpe_lr0.0003_hidden_dim512_clip_eps0.2_entropy_coef0.005_epochs8_batch_size64_d_embed8_seed1042,127.0367,129.1443,239524,ppo_highway_best_shuffled_distpe_lr0.0003_hidden_dim512_clip_eps0.2_entropy_coef0.005_epochs8_batch_size64_d_embed8_seed1042.pth,ppo_highway_rewards_shuffled_distpe_lr0.0003_hidden_dim512_clip_eps0.2_entropy_coef0.005_epochs8_batch_size64_d_embed8_seed1042.png
shuffled_distpe_lr0.0003_hidden_dim512_clip_eps0.2_entropy_coef0.005_epochs8_batch_size64_d_embed8_seed2042,110.5421,121.2815,262344,ppo_highway_best_shuffled_distpe_lr0.0003_hidden_dim512_clip_eps0.2_entropy_coef0.005_epochs8_batch_size64_d_embed8_seed2042.pth,ppo_highway_rewards_shuffled_distpe_lr0.0003_hidden_dim512_clip_eps0.2_entropy_coef0.005_epochs8_batch_size64_d_embed8_seed2042.png
shuffled_distpe_lr0.0003_hidden_dim512_clip_eps0.2_entropy_coef0.005_epochs8_batch_size64_d_embed8_seed42,127.9065,138.6090,236105,ppo_highway_best_shuffled_distpe_lr0.0003_hidden_dim512_clip_eps0.2_entropy_coef0.005_epochs8_batch_size64_d_embed8_seed42.pth,ppo_highway_rewards_shuffled_distpe_lr0.0003_hidden_dim512_clip_eps0.2_entropy_coef0.005_epochs8_batch_size64_d_embed8_seed42.png
shuffled_lr0.0003_hidden_dim256_clip_eps0.2_entropy_coef0.005_epochs8_batch_size32_d_embed16_seed1042,120.0389,125.9532,233746,ppo_highway_best_shuffled_lr0.0003_hidden_dim256_clip_eps0.2_entropy_coef0.005_epochs8_batch_size32_d_embed16_seed1042.pth,ppo_highway_rewards_shuffled_lr0.0003_hidden_dim256_clip_eps0.2_entropy_coef0.005_epochs8_batch_size32_d_embed16_seed1042.png
shuffled_lr0.0003_hidden_dim256_clip_eps0.2_entropy_coef0.005_epochs8_batch_size32_d_embed16_seed2042,123.3965,128.0932,231424,ppo_highway_best_shuffled_lr0.0003_hidden_dim256_clip_eps0.2_entropy_coef0.005_epochs8_batch_size32_d_embed16_seed2042.pth,ppo_highway_rewards_shuffled_lr0.0003_hidden_dim256_clip_eps0.2_entropy_coef0.005_epochs8_batch_size32_d_embed16_seed2042.png
